MDCｺｰﾄﾞ,分類ｺｰﾄﾞ,名称,変更区分,有効期間,,更新日
,,,,開始日,終了日,
01,0010,脳腫瘍,0,20220401,99999999,00000000
01,0020,くも膜下出血、破裂脳動脈瘤,0,20220401,99999999,00000000
01,0030,未破裂脳動脈瘤,0,20220401,99999999,00000000
01,0040,非外傷性頭蓋内血腫（非外傷性硬膜下血腫以外）,0,20220401,99999999,00000000
01,0050,非外傷性硬膜下血腫,0,20220401,99999999,00000000
01,0060,脳梗塞,0,20220401,99999999,00000000
01,0061,一過性脳虚血発作,0,20220401,99999999,00000000
01,0069,脳卒中の続発症,0,20220401,99999999,00000000
01,0070,脳血管障害,0,20220401,99999999,00000000
01,0080,脳脊髄の感染を伴う炎症,0,20220401,99999999,00000000
01,0081,免疫介在性脳炎・脊髄炎,0,20220401,99999999,00000000
01,0083,結核性髄膜炎、髄膜脳炎,0,20220401,99999999,00000000
01,0086,プリオン病,0,20220401,99999999,00000000
01,0089,亜急性硬化性全脳炎,0,20220401,99999999,00000000
01,0090,多発性硬化症,0,20220401,99999999,00000000
01,0100,脱髄性疾患（その他）,0,20220401,99999999,00000000
01,0110,免疫介在性・炎症性ニューロパチー,0,20220401,99999999,00000000
01,0111,遺伝性ニューロパチー,0,20220401,99999999,00000000
01,0120,特発性（単）ニューロパチー,0,20220401,99999999,00000000
01,0130,重症筋無力症,0,20220401,99999999,00000000
01,0140,筋疾患（その他）,0,20220401,99999999,00000000
01,0155,運動ニューロン疾患等,0,20220401,99999999,00000000
01,0160,パーキンソン病,0,20220401,99999999,00000000
01,0170,基底核等の変性疾患,0,20220401,99999999,00000000
01,0180,不随意運動,0,20220401,99999999,00000000
01,0190,遺伝性運動失調症,0,20220401,99999999,00000000
01,0200,水頭症,0,20220401,99999999,00000000
01,021x,認知症,0,20220401,99999999,00000000
01,0220,その他の変性疾患,0,20220401,99999999,00000000
01,0230,てんかん,0,20220401,99999999,00000000
01,0240,片頭痛、頭痛症候群（その他）,0,20220401,99999999,00000000
01,0260,ウェルニッケ脳症,0,20220401,99999999,00000000
01,0270,中毒性脳症,0,20220401,99999999,00000000
01,0280,ジストニー、筋無力症,0,20220401,99999999,00000000
01,0290,自律神経系の障害,0,20220401,99999999,00000000
01,0300,睡眠障害,0,20220401,99999999,00000000
01,0310,脳の障害（その他）,0,20220401,99999999,00000000
