MDCｺｰﾄﾞ,分類ｺｰﾄﾞ,対応ｺｰﾄﾞ,処置2ﾌﾗｸﾞ,処置等(1),,処置等(2),,変更区分,有効期間,,更新日
,,,,名称,ｺｰﾄﾞ,名称,ｺｰﾄﾞ,,開始日,終了日,
01,0010,B,15,ペムブロリズマブ,0204,,,0,20220401,99999999,00000000
01,0010,A,14,テモゾロミド（注射薬に限る。）,0100,,,0,20220401,99999999,00000000
01,0010,9,13,ベバシズマブ,0056,,,0,20220401,99999999,00000000
01,0010,8,12,テモゾロミド（内服薬による初発の初回治療に限る。）,0053,,,0,20220401,99999999,00000000
01,0010,8,11,エベロリムス,0095,,,0,20220401,99999999,00000000
01,0010,7,10,メトトレキサート（注射薬に限る。）,0080,,,0,20220401,99999999,00000000
01,0010,6,9,ガンマナイフによる定位放射線治療,M001-2,,,0,20220401,99999999,00000000
01,0010,5,8,化学療法ありかつ放射線療法なし,0046,,,0,20220401,99999999,00000000
01,0010,4,7,化学療法ありかつ放射線療法あり,0047,,,0,20220401,99999999,00000000
01,0010,3,6,化学療法なしかつ放射線療法あり,0048,,,0,20220401,99999999,00000000
01,0010,2,4,ＳＰＥＣＴ,E101,,,0,20220401,99999999,00000000
01,0010,2,4,ポジトロン断層撮影　１５Ｏ標識ガス剤を用いた場合（一連の検査につき）,E101-21,,,0,20220401,99999999,00000000
01,0010,2,4,ポジトロン断層撮影　１８ＦＤＧを用いた場合（一連の検査につき）,E101-22,,,0,20220401,99999999,00000000
01,0010,2,4,ポジトロン断層撮影　１３Ｎ標識アンモニア剤を用いた場合（一連の検査につき）,E101-23,,,0,20220401,99999999,00000000
01,0010,1,2,中心静脈注射,G005,,,0,20220401,99999999,00000000
01,0010,1,1,人工呼吸　３０分までの場合,J0451,,,0,20220401,99999999,00000000
01,0010,1,1,人工呼吸　３０分を超えて５時間までの場合,J0452,,,0,20220401,99999999,00000000
01,0010,1,1,人工呼吸　５時間を超えた場合（１日につき）　１４日目まで,J0453ｲ,,,0,20220401,99999999,00000000
01,0010,1,1,人工呼吸　５時間を超えた場合（１日につき）　１５日目以降,J0453ﾛ,,,0,20220401,99999999,00000000
01,0020,1,3,人工腎臓　その他の場合,J0384,,,0,20220401,99999999,00000000
01,0020,1,2,中心静脈注射,G005,,,0,20220401,99999999,00000000
01,0020,1,1,人工呼吸　３０分までの場合,J0451,,,0,20220401,99999999,00000000
01,0020,1,1,人工呼吸　３０分を超えて５時間までの場合,J0452,,,0,20220401,99999999,00000000
01,0020,1,1,人工呼吸　５時間を超えた場合（１日につき）　１４日目まで,J0453ｲ,,,0,20220401,99999999,00000000
01,0020,1,1,人工呼吸　５時間を超えた場合（１日につき）　１５日目以降,J0453ﾛ,,,0,20220401,99999999,00000000
01,0030,1,2,中心静脈注射,G005,,,0,20220401,99999999,00000000
01,0030,1,1,人工呼吸　３０分までの場合,J0451,,,0,20220401,99999999,00000000
01,0030,1,1,人工呼吸　３０分を超えて５時間までの場合,J0452,,,0,20220401,99999999,00000000
01,0030,1,1,人工呼吸　５時間を超えた場合（１日につき）　１４日目まで,J0453ｲ,,,0,20220401,99999999,00000000
01,0030,1,1,人工呼吸　５時間を超えた場合（１日につき）　１５日目以降,J0453ﾛ,,,0,20220401,99999999,00000000
01,0040,1,6,直線加速器による放射線治療　定位放射線治療の場合,M001-31,,,0,20220401,99999999,00000000
01,0040,1,3,人工腎臓　その他の場合,J0384,,,0,20220401,99999999,00000000
01,0040,1,2,中心静脈注射,G005,,,0,20220401,99999999,00000000
01,0040,1,1,人工呼吸　３０分までの場合,J0451,,,0,20220401,99999999,00000000
01,0040,1,1,人工呼吸　３０分を超えて５時間までの場合,J0452,,,0,20220401,99999999,00000000
01,0040,1,1,人工呼吸　５時間を超えた場合（１日につき）　１４日目まで,J0453ｲ,,,0,20220401,99999999,00000000
01,0040,1,1,人工呼吸　５時間を超えた場合（１日につき）　１５日目以降,J0453ﾛ,,,0,20220401,99999999,00000000
01,0050,1,3,人工腎臓　その他の場合,J0384,,,0,20220401,99999999,00000000
01,0050,1,2,中心静脈注射,G005,,,0,20220401,99999999,00000000
01,0050,1,1,人工呼吸　３０分までの場合,J0451,,,0,20220401,99999999,00000000
01,0050,1,1,人工呼吸　３０分を超えて５時間までの場合,J0452,,,0,20220401,99999999,00000000
01,0050,1,1,人工呼吸　５時間を超えた場合（１日につき）　１４日目まで,J0453ｲ,,,0,20220401,99999999,00000000
01,0050,1,1,人工呼吸　５時間を超えた場合（１日につき）　１５日目以降,J0453ﾛ,,,0,20220401,99999999,00000000
01,0060,5,9,ｔＰＡ,0022,,,0,20220401,99999999,00000000
01,0060,4,8,エダラボン,0049,,,0,20220401,99999999,00000000
01,0060,3,7,ＳＰＥＣＴ,E101,,,0,20220401,99999999,00000000
01,0060,3,7,ポジトロン断層撮影　１５Ｏ標識ガス剤を用いた場合（一連の検査につき）,E101-21,,,0,20220401,99999999,00000000
01,0060,3,7,ポジトロン断層撮影　１８ＦＤＧを用いた場合（一連の検査につき）,E101-22,,,0,20220401,99999999,00000000
01,0060,3,7,ポジトロン断層撮影　１３Ｎ標識アンモニア剤を用いた場合（一連の検査につき）,E101-23,,,0,20220401,99999999,00000000
01,0060,3,7,非放射性キセノン脳血流動態検査,E201,,,0,20220401,99999999,00000000
01,0060,2,6,脳血管疾患等リハビリテーション料　脳血管疾患等リハビリテーション料（１）（１単位）,H0011,,,0,20220401,99999999,00000000
01,0060,2,6,脳血管疾患等リハビリテーション料　脳血管疾患等リハビリテーション料（２）（１単位）,H0012,,,0,20220401,99999999,00000000
01,0060,2,6,廃用症候群リハビリテーション料　廃用症候群リハビリテーション料（１）（１単位）,H001-21,,,0,20220401,99999999,00000000
01,0060,2,6,廃用症候群リハビリテーション料　廃用症候群リハビリテーション料（２）（１単位）,H001-22,,,0,20220401,99999999,00000000
01,0060,2,6,廃用症候群リハビリテーション料　廃用症候群リハビリテーション料（３）（１単位）,H001-23,,,0,20220401,99999999,00000000
01,0060,2,6,脳血管疾患等リハビリテーション料　脳血管疾患等リハビリテーション料（３）（１単位）,H0013,,,0,20220401,99999999,00000000
01,0060,1,3,人工腎臓　その他の場合,J0384,,,0,20220401,99999999,00000000
01,0060,1,2,中心静脈注射,G005,,,0,20220401,99999999,00000000
01,0060,1,1,人工呼吸　３０分までの場合,J0451,,,0,20220401,99999999,00000000
