MDCｺｰﾄﾞ,MDC名称,変更区分,有効期間,,更新日
,,,開始日,終了日,
01,神経系疾患,0,20240601,99999999,00000000
02,眼科系疾患,0,20240601,99999999,00000000
03,耳鼻咽喉科系疾患,0,20240601,99999999,00000000
04,呼吸器系疾患,0,20240601,99999999,00000000
05,循環器系疾患,0,20240601,99999999,00000000
06,消化器系疾患、肝臓・胆道・膵臓疾患,0,20240601,99999999,00000000
07,筋骨格系疾患,0,20240601,99999999,00000000
08,皮膚・皮下組織の疾患,0,20240601,99999999,00000000
09,乳房の疾患,0,20240601,99999999,00000000
10,内分泌・栄養・代謝に関する疾患,0,20240601,99999999,00000000
11,腎・尿路系疾患及び男性生殖器系疾患,0,20240601,99999999,00000000
12,女性生殖器系疾患及び産褥期疾患・異常妊娠分娩,0,20240601,99999999,00000000
13,血液・造血器・免疫臓器の疾患,0,20240601,99999999,00000000
14,新生児疾患、先天性奇形,0,20240601,99999999,00000000
15,小児疾患,0,20240601,99999999,00000000
16,外傷・熱傷・中毒,0,20240601,99999999,00000000
17,精神疾患,0,20240601,99999999,00000000
18,その他,0,20240601,99999999,00000000
