MDCｺｰﾄﾞ,分類ｺｰﾄﾞ,条件区分,条件名,手術,,,,変更区分,有効期間,,更新日
,,,,条件１,,条件２,,,,,
,,,,片眼,0,両眼,1,,開始日,終了日,
01,0010,8,リハビリ,なし,0,あり,1,0,20240601,99999999,00000000
01,0020,8,リハビリ,なし,0,あり,1,0,20240601,99999999,00000000
01,0030,8,リハビリ,なし,0,あり,1,0,20240601,99999999,00000000
01,0040,8,リハビリ,なし,0,あり,1,0,20240601,99999999,00000000
01,0050,8,リハビリ,なし,0,あり,1,0,20240601,99999999,00000000
01,0061,8,リハビリ,なし,0,あり,1,0,20240601,99999999,00000000
01,0069,8,リハビリ,なし,0,あり,1,0,20240601,99999999,00000000
01,0070,8,リハビリ,なし,0,あり,1,0,20240601,99999999,00000000
01,0081,8,リハビリ,なし,0,あり,1,0,20240601,99999999,00000000
01,0083,8,リハビリ,なし,0,あり,1,0,20240601,99999999,00000000
01,0086,8,リハビリ,なし,0,あり,1,0,20240601,99999999,00000000
01,0089,8,リハビリ,なし,0,あり,1,0,20240601,99999999,00000000
01,0090,8,リハビリ,なし,0,あり,1,0,20240601,99999999,00000000
01,0095,8,リハビリ,なし,0,あり,1,0,20240601,99999999,00000000
01,0100,8,リハビリ,なし,0,あり,1,0,20240601,99999999,00000000
01,0110,8,リハビリ,なし,0,あり,1,0,20240601,99999999,00000000
01,0111,8,リハビリ,なし,0,あり,1,0,20240601,99999999,00000000
01,0120,8,リハビリ,なし,0,あり,1,0,20240601,99999999,00000000
01,0130,8,リハビリ,なし,0,あり,1,0,20240601,99999999,00000000
01,0140,8,リハビリ,なし,0,あり,1,0,20240601,99999999,00000000
01,0155,8,リハビリ,なし,0,あり,1,0,20240601,99999999,00000000
01,0160,8,リハビリ,なし,0,あり,1,0,20240601,99999999,00000000
01,0170,8,リハビリ,なし,0,あり,1,0,20240601,99999999,00000000
01,0180,8,リハビリ,なし,0,あり,1,0,20240601,99999999,00000000
01,0190,8,リハビリ,なし,0,あり,1,0,20240601,99999999,00000000
01,0200,8,リハビリ,なし,0,あり,1,0,20240601,99999999,00000000
01,021x,8,リハビリ,なし,0,あり,1,0,20240601,99999999,00000000
01,0220,8,リハビリ,なし,0,あり,1,0,20240601,99999999,00000000
01,0230,8,リハビリ,なし,0,あり,1,0,20240601,99999999,00000000
01,0240,8,リハビリ,なし,0,あり,1,0,20240601,99999999,00000000
01,0260,8,リハビリ,なし,0,あり,1,0,20240601,99999999,00000000
01,0270,8,リハビリ,なし,0,あり,1,0,20240601,99999999,00000000
01,0280,8,リハビリ,なし,0,あり,1,0,20240601,99999999,00000000
01,0290,8,リハビリ,なし,0,あり,1,0,20240601,99999999,00000000
01,0300,8,リハビリ,なし,0,あり,1,0,20240601,99999999,00000000
01,0310,8,リハビリ,なし,0,あり,1,0,20240601,99999999,00000000
02,001x,4,片眼／両眼,片眼,0,両眼,1,0,20240601,99999999,00000000
02,0040,4,片眼／両眼,片眼,0,両眼,1,0,20240601,99999999,00000000
02,006x,4,片眼／両眼,片眼,0,両眼,1,0,20240601,99999999,00000000
02,0080,4,片眼／両眼,片眼,0,両眼,1,0,20240601,99999999,00000000
02,0100,4,片眼／両眼,片眼,0,両眼,1,0,20240601,99999999,00000000
02,0100,6,初回／再手術,初回,0,再手術,1,0,20240601,99999999,00000000
02,0110,4,片眼／両眼,片眼,0,両眼,1,0,20240601,99999999,00000000
02,0120,4,片眼／両眼,片眼,0,両眼,1,0,20240601,99999999,00000000
02,0130,4,片眼／両眼,片眼,0,両眼,1,0,20240601,99999999,00000000
02,0130,6,初回／再手術,初回,0,再手術,1,0,20240601,99999999,00000000
02,0150,4,片眼／両眼,片眼,0,両眼,1,0,20240601,99999999,00000000
02,0150,6,初回／再手術,初回,0,再手術,1,0,20240601,99999999,00000000
02,0160,4,片眼／両眼,片眼,0,両眼,1,0,20240601,99999999,00000000
02,0180,4,片眼／両眼,片眼,0,両眼,1,0,20240601,99999999,00000000
02,0190,4,片眼／両眼,片眼,0,両眼,1,0,20240601,99999999,00000000
02,0200,4,片眼／両眼,片眼,0,両眼,1,0,20240601,99999999,00000000
02,0210,4,片眼／両眼,片眼,0,両眼,1,0,20240601,99999999,00000000
02,0220,4,片眼／両眼,片眼,0,両眼,1,0,20240601,99999999,00000000
02,0230,4,片眼／両眼,片眼,0,両眼,1,0,20240601,99999999,00000000
02,0240,4,片眼／両眼,片眼,0,両眼,1,0,20240601,99999999,00000000
02,0250,4,片眼／両眼,片眼,0,両眼,1,0,20240601,99999999,00000000
02,0270,4,片眼／両眼,片眼,0,両眼,1,0,20240601,99999999,00000000
02,0280,4,片眼／両眼,片眼,0,両眼,1,0,20240601,99999999,00000000
02,0290,4,片眼／両眼,片眼,0,両眼,1,0,20240601,99999999,00000000
02,0290,6,初回／再手術,初回,0,再手術,1,0,20240601,99999999,00000000
02,0320,4,片眼／両眼,片眼,0,両眼,1,0,20240601,99999999,00000000
02,0325,4,片眼／両眼,片眼,0,両眼,1,0,20240601,99999999,00000000
02,0340,4,片眼／両眼,片眼,0,両眼,1,0,20240601,99999999,00000000
02,0350,4,片眼／両眼,片眼,0,両眼,1,0,20240601,99999999,00000000
02,0360,4,片眼／両眼,片眼,0,両眼,1,0,20240601,99999999,00000000
02,0370,4,片眼／両眼,片眼,0,両眼,1,0,20240601,99999999,00000000
02,0380,4,片眼／両眼,片眼,0,両眼,1,0,20240601,99999999,00000000
02,0400,4,片眼／両眼,片眼,0,両眼,1,0,20240601,99999999,00000000
03,0280,5,片側／両側,片側,0,両側,1,0,20240601,99999999,00000000
03,0350,5,片側／両側,片側,0,両側,1,0,20240601,99999999,00000000
04,0200,5,片側／両側,片側,0,両側,1,0,20240601,99999999,00000000
04,0210,5,片側／両側,片側,0,両側,1,0,20240601,99999999,00000000
05,0030,13,他の病院・診療所の病棟からの転院以外／他の病院・診療所の病棟からの転院,他の病院・診療所の病棟からの転院以外,0,他の病院・診療所の病棟からの転院,1,0,20240601,99999999,00000000
05,0050,13,他の病院・診療所の病棟からの転院以外／他の病院・診療所の病棟からの転院,他の病院・診療所の病棟からの転院以外,0,他の病院・診療所の病棟からの転院,1,0,20240601,99999999,00000000
05,0080,6,初回／再手術,初回,0,再手術,1,0,20240601,99999999,00000000
05,0090,6,初回／再手術,初回,0,再手術,1,0,20240601,99999999,00000000
05,0130,13,他の病院・診療所の病棟からの転院以外／他の病院・診療所の病棟からの転院,他の病院・診療所の病棟からの転院以外,0,他の病院・診療所の病棟からの転院,1,0,20240601,99999999,00000000
07,0210,5,片側／両側,片側,0,両側,1,0,20240601,99999999,00000000
07,0230,5,片側／両側,片側,0,両側,1,0,20240601,99999999,00000000
07,0270,5,片側／両側,片側,0,両側,1,0,20240601,99999999,00000000
07,0420,5,片側／両側,片側,0,両側,1,0,20240601,99999999,00000000
07,0470,5,片側／両側,片側,0,両側,1,0,20240601,99999999,00000000
09,0010,5,片側／両側,片側,0,両側,1,0,20240601,99999999,00000000
10,0180,7,一側／両側,一側,0,両側,1,0,20240601,99999999,00000000
10,0190,7,一側／両側,一側,0,両側,1,0,20240601,99999999,00000000
14,0090,5,片側／両側,片側,0,両側,1,0,20240601,99999999,00000000
14,0090,6,初回／再手術,初回,0,再手術,1,0,20240601,99999999,00000000
14,0100,5,片側／両側,片側,0,両側,1,0,20240601,99999999,00000000
14,0490,5,片側／両側,片側,0,両側,1,0,20240601,99999999,00000000
14,0510,5,片側／両側,片側,0,両側,1,0,20240601,99999999,00000000
14,0620,5,片側／両側,片側,0,両側,1,0,20240601,99999999,00000000
15,0120,5,片側／両側,片側,0,両側,1,0,20240601,99999999,00000000
16,0100,5,片側／両側,片側,0,両側,1,0,20240601,99999999,00000000
16,0200,5,片側／両側,片側,0,両側,1,0,20240601,99999999,00000000
16,0580,5,片側／両側,片側,0,両側,1,0,20240601,99999999,00000000
16,0590,5,片側／両側,片側,0,両側,1,0,20240601,99999999,00000000
16,0610,5,片側／両側,片側,0,両側,1,0,20240601,99999999,00000000
16,0640,5,片側／両側,片側,0,両側,1,0,20240601,99999999,00000000
16,0760,5,片側／両側,片側,0,両側,1,0,20240601,99999999,00000000
16,0780,5,片側／両側,片側,0,両側,1,0,20240601,99999999,00000000
16,0800,13,他の病院・診療所の病棟からの転院以外／他の病院・診療所の病棟からの転院,他の病院・診療所の病棟からの転院以外,0,他の病院・診療所の病棟からの転院,1,0,20240601,99999999,00000000
16,0835,5,片側／両側,片側,0,両側,1,0,20240601,99999999,00000000
17,0010,8,リハビリ,なし,0,あり,1,0,20240601,99999999,00000000
