MDCｺｰﾄﾞ,分類ｺｰﾄﾞ,条件区分,条件名,条件1,,,条件2,,値2,条件3,,値3,条件4,,値4,条件5,,値4,予備,,変更区分,有効期間,,更新日
,,,,以上,未満,値,以上,未満,値,以上,未満,値,以上,未満,値,以上,未満,値,区分,区分名称,,開始日,終了日,
01,0010,1,年齢,000,015,1,015,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
01,0020,2,ＪＣＳ,000,010,0,010,999,1,,,,,,,,,,,,0,20240601,99999999,00000000
01,0040,2,ＪＣＳ,000,010,0,010,999,1,,,,,,,,,,,,0,20240601,99999999,00000000
01,0050,2,ＪＣＳ,000,010,0,010,999,1,,,,,,,,,,,,0,20240601,99999999,00000000
01,0060,2,ＪＣＳ,000,010,0,010,999,1,,,,,,,,,,,,0,20240601,99999999,00000000
01,0061,2,ＪＣＳ,000,010,0,010,999,1,,,,,,,,,,,,0,20240601,99999999,00000000
01,0069,2,ＪＣＳ,000,010,0,010,999,1,,,,,,,,,,,,0,20240601,99999999,00000000
01,0070,2,ＪＣＳ,000,010,0,010,999,1,,,,,,,,,,,,0,20240601,99999999,00000000
01,0080,2,ＪＣＳ,000,010,0,010,999,1,,,,,,,,,,,,0,20240601,99999999,00000000
01,0081,1,年齢,000,006,1,006,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
01,0090,2,ＪＣＳ,000,010,0,010,999,1,,,,,,,,,,,,0,20240601,99999999,00000000
01,0095,2,ＪＣＳ,000,010,0,010,999,1,,,,,,,,,,,,0,20240601,99999999,00000000
01,0100,2,ＪＣＳ,000,010,0,010,999,1,,,,,,,,,,,,0,20240601,99999999,00000000
01,0110,1,年齢,000,006,1,006,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
01,0111,1,年齢,000,006,1,006,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
01,0140,1,年齢,000,015,1,015,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
01,0230,1,年齢,000,001,1,001,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
01,0260,2,ＪＣＳ,000,010,0,010,999,1,,,,,,,,,,,,0,20240601,99999999,00000000
01,0270,2,ＪＣＳ,000,010,0,010,999,1,,,,,,,,,,,,0,20240601,99999999,00000000
03,0180,1,年齢,000,006,1,006,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
03,0230,1,年齢,000,006,1,006,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
03,0240,1,年齢,000,006,1,006,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
03,0270,1,年齢,000,006,1,006,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
04,0050,1,年齢,000,015,1,015,999,0,,,,,,,,,,,,0,20240601,99999999,00000000
