MDCｺｰﾄﾞ,分類ｺｰﾄﾞ,値,手術フラグ,年齢，出生時体重別の値,対応ｺｰﾄﾞ,手術１,,手術２,,手術３,,手術４,,手術５,,変更区分,有効期間,,更新日
,,,,,,点数表名称,Ｋコード,点数表名称,Ｋコード,点数表名称,Ｋコード,点数表名称,Ｋコード,点数表名称,Ｋコード,,開始日,終了日,
01,0010,,99,,99,手術なし,KKK0,,,,,,,,,0,20240601,99999999,00000000
01,0010,,97,,97,定義テーブルにない手術,KKK1,,,,,,,,,0,20240601,99999999,00000000
01,0010,,17,,97,定位脳腫瘍生検術,K154-3,,,,,,,,,0,20240601,99999999,00000000
01,0010,,16,,97,髄液漏閉鎖術,K179,,,,,,,,,0,20240601,99999999,00000000
01,0010,,15,,97,頭蓋骨形成手術　頭蓋骨のみのもの,K1801,,,,,,,,,0,20240601,99999999,00000000
01,0010,,15,,97,頭蓋骨形成手術　硬膜形成を伴うもの,K1802,,,,,,,,,0,20240601,99999999,00000000
01,0010,,15,,97,頭蓋骨形成手術　骨移動を伴うもの,K1803,,,,,,,,,0,20240601,99999999,00000000
01,0010,,14,,97,水頭症手術　脳室穿破術（神経内視鏡手術によるもの）,K1741,,,,,,,,,0,20240601,99999999,00000000
01,0010,,14,,97,水頭症手術　シャント手術,K1742,,,,,,,,,0,20240601,99999999,00000000
01,0010,,14,,97,水頭症手術　シャント再建術　頭側のもの,K1743ｲ,,,,,,,,,0,20240601,99999999,00000000
01,0010,,14,,97,水頭症手術　シャント再建術　頭側及び腹側のもの,K1743ﾊ,,,,,,,,,0,20240601,99999999,00000000
01,0010,,14,,97,水頭症手術　シャント再建術　腹側のもの,K1743ﾛ,,,,,,,,,0,20240601,99999999,00000000
01,0010,,13,,97,脳刺激装置交換術,K181-2,,,,,,,,,0,20240601,99999999,00000000
01,0010,,12,,97,穿頭脳室ドレナージ術,K145,,,,,,,,,0,20240601,99999999,00000000
01,0010,,11,,03,内視鏡下脳腫瘍生検術,K169-2,,,,,,,,,0,20240601,99999999,00000000
01,0010,,11,,03,内視鏡下脳腫瘍摘出術,K169-3,,,,,,,,,0,20240601,99999999,00000000
01,0010,,10,,03,頭蓋骨腫瘍摘出術,K161,,,,,,,,,0,20240601,99999999,00000000
01,0010,,09,,03,脳膿瘍排膿術,K150,,,,,,,,,0,20240601,99999999,00000000
01,0010,,08,,03,脳切除術,K168,,,,,,,,,0,20240601,99999999,00000000
01,0010,,07,,03,減圧開頭術　その他の場合,K1492,,,,,,,,,0,20240601,99999999,00000000
01,0010,,06,,03,顔面神経麻痺形成手術　静的なもの,K0111,,,,,,,,,0,20240601,99999999,00000000
01,0010,,06,,03,顔面神経麻痺形成手術　動的なもの,K0112,,,,,,,,,0,20240601,99999999,00000000
01,0010,,05,,03,機能的定位脳手術　片側の場合,K1541,,,,,,,,,0,20240601,99999999,00000000
01,0010,,05,,03,機能的定位脳手術　両側の場合,K1542,,,,,,,,,0,20240601,99999999,00000000
01,0010,,04,,03,広範囲頭蓋底腫瘍切除・再建術,K151-2,,,,,,,,,0,20240601,99999999,00000000
01,0010,,04,,03,頭蓋内腫瘤摘出術,K167,,,,,,,,,0,20240601,99999999,00000000
01,0010,,04,,03,頭蓋内腫瘍摘出術　松果体部腫瘍,K1691,,,,,,,,,0,20240601,99999999,00000000
01,0010,,04,,03,頭蓋内腫瘍摘出術　その他のもの,K1692,,,,,,,,,0,20240601,99999999,00000000
01,0010,,04,,03,経耳的聴神経腫瘍摘出術,K170,,,,,,,,,0,20240601,99999999,00000000
01,0010,,04,,03,経鼻的下垂体腫瘍摘出術,K171,,,,,,,,,0,20240601,99999999,00000000
01,0010,,04,,03,内視鏡下経鼻的腫瘍摘出術　下垂体腫瘍,K171-21,,,,,,,,,0,20240601,99999999,00000000
01,0010,,04,,03,内視鏡下経鼻的腫瘍摘出術　頭蓋底脳腫瘍（下垂体腫瘍を除く。）,K171-22,,,,,,,,,0,20240601,99999999,00000000
01,0010,,03,,02,内視鏡下脳腫瘍生検術,K169-2,術中血管等描出撮影加算,K939-2,,,,,,,0,20240601,99999999,00000000
01,0010,,03,,02,内視鏡下脳腫瘍摘出術,K169-3,術中血管等描出撮影加算,K939-2,,,,,,,0,20240601,99999999,00000000
01,0010,,02,,02,頭蓋内腫瘍摘出術　松果体部腫瘍,K1691,術中血管等描出撮影加算,K939-2,,,,,,,0,20240601,99999999,00000000
01,0010,,02,,02,頭蓋内腫瘍摘出術　その他のもの,K1692,術中血管等描出撮影加算,K939-2,,,,,,,0,20240601,99999999,00000000
01,0010,,01,,01,頭蓋内腫瘍摘出術　松果体部腫瘍,K1691,原発性悪性脳腫瘍光線力学療法加算,KK04,,,,,,,0,20240601,99999999,00000000
01,0010,,01,,01,頭蓋内腫瘍摘出術　その他のもの,K1692,原発性悪性脳腫瘍光線力学療法加算,KK04,,,,,,,0,20240601,99999999,00000000
01,0020,,99,,99,手術なし,KKK0,,,,,,,,,0,20240601,99999999,00000000
01,0020,,97,,97,定義テーブルにない手術,KKK1,,,,,,,,,0,20240601,99999999,00000000
01,0020,,07,,03,脊髄ドレナージ術,K189,,,,,,,,,0,20240601,99999999,00000000
01,0020,,06,,03,頭蓋骨形成手術　頭蓋骨のみのもの,K1801,,,,,,,,,0,20240601,99999999,00000000
01,0020,,06,,03,頭蓋骨形成手術　硬膜形成を伴うもの,K1802,,,,,,,,,0,20240601,99999999,00000000
01,0020,,06,,03,頭蓋骨形成手術　骨移動を伴うもの,K1803,,,,,,,,,0,20240601,99999999,00000000
01,0020,,05,,03,穿頭脳室ドレナージ術,K145,,,,,,,,,0,20240601,99999999,00000000
01,0020,,05,,03,水頭症手術　脳室穿破術（神経内視鏡手術によるもの）,K1741,,,,,,,,,0,20240601,99999999,00000000
01,0020,,05,,03,水頭症手術　シャント手術,K1742,,,,,,,,,0,20240601,99999999,00000000
01,0020,,05,,03,水頭症手術　シャント再建術　頭側のもの,K1743ｲ,,,,,,,,,0,20240601,99999999,00000000
01,0020,,05,,03,水頭症手術　シャント再建術　頭側及び腹側のもの,K1743ﾊ,,,,,,,,,0,20240601,99999999,00000000
01,0020,,05,,03,水頭症手術　シャント再建術　腹側のもの,K1743ﾛ,,,,,,,,,0,20240601,99999999,00000000
01,0020,,01,,02,脳血管内手術　１箇所,K1781,,,,,,,,,0,20240601,99999999,00000000
01,0020,,01,,02,脳血管内手術　２箇所以上,K1782,,,,,,,,,0,20240601,99999999,00000000
01,0020,,01,,02,脳血管内手術　脳血管内ステントを用いるもの,K1783,,,,,,,,,0,20240601,99999999,00000000
01,0020,,04,,01,頭蓋内血腫除去術（開頭して行うもの）　硬膜下のもの,K1642,,,,,,,,,0,20240601,99999999,00000000
01,0020,,03,,01,減圧開頭術　その他の場合,K1492,,,,,,,,,0,20240601,99999999,00000000
01,0020,,03,,01,頭蓋内血腫除去術（開頭して行うもの）　脳内のもの,K1643,,,,,,,,,0,20240601,99999999,00000000
01,0020,,03,,01,定位的脳内血腫除去術,K164-4,,,,,,,,,0,20240601,99999999,00000000
01,0020,,03,,01,内視鏡下脳内血腫除去術,K164-5,,,,,,,,,0,20240601,99999999,00000000
01,0020,,02,,01,脳動脈瘤被包術　１箇所,K1751,,,,,,,,,0,20240601,99999999,00000000
01,0020,,02,,01,脳動脈瘤被包術　２箇所以上,K1752,,,,,,,,,0,20240601,99999999,00000000
01,0020,,02,,01,脳動脈瘤流入血管クリッピング（開頭して行うもの）　１箇所,K1761,,,,,,,,,0,20240601,99999999,00000000
01,0020,,02,,01,脳動脈瘤流入血管クリッピング（開頭して行うもの）　２箇所以上,K1762,,,,,,,,,0,20240601,99999999,00000000
01,0020,,02,,01,脳動脈瘤頸部クリッピング　１箇所,K1771,,,,,,,,,0,20240601,99999999,00000000
01,0020,,02,,01,脳動脈瘤頸部クリッピング　２箇所以上,K1772,,,,,,,,,0,20240601,99999999,00000000
01,0030,,99,,99,手術なし,KKK0,,,,,,,,,0,20240601,99999999,00000000
01,0030,,97,,97,定義テーブルにない手術,KKK1,,,,,,,,,0,20240601,99999999,00000000
01,0030,,02,,02,脳血管内手術　１箇所,K1781,,,,,,,,,0,20240601,99999999,00000000
01,0030,,02,,02,脳血管内手術　２箇所以上,K1782,,,,,,,,,0,20240601,99999999,00000000
01,0030,,02,,02,脳血管内手術　脳血管内ステントを用いるもの,K1783,,,,,,,,,0,20240601,99999999,00000000
01,0030,,01,,01,脳動脈瘤被包術　１箇所,K1751,,,,,,,,,0,20240601,99999999,00000000
01,0030,,01,,01,脳動脈瘤被包術　２箇所以上,K1752,,,,,,,,,0,20240601,99999999,00000000
01,0030,,01,,01,脳動脈瘤流入血管クリッピング（開頭して行うもの）　１箇所,K1761,,,,,,,,,0,20240601,99999999,00000000
01,0030,,01,,01,脳動脈瘤流入血管クリッピング（開頭して行うもの）　１箇所,K1761,動脈形成術、吻合術　頭蓋内動脈,K6101,,,,,,,0,20240601,99999999,00000000
01,0030,,01,,01,脳動脈瘤流入血管クリッピング（開頭して行うもの）　２箇所以上,K1762,,,,,,,,,0,20240601,99999999,00000000
