MDCｺｰﾄﾞ,分類ｺｰﾄﾞ,対応ｺｰﾄﾞ,処置1ﾌﾗｸﾞ,手術との組み合わせ条件,処置等（１）,,処置（２）,,変更区分,有効期間,,更新日
,,,,,名称,ｺｰﾄﾞ,名称,ｺｰﾄﾞ,,開始日,終了日,
01,0010,1,1,,造影剤注入手技　動脈造影カテーテル法　主要血管の分枝血管を選択的に造影撮影した場合,E0033ｲ,,,0,20240601,99999999,00000000
01,0020,1,1,,胃瘻造設術（経皮的内視鏡下胃瘻造設術、腹腔鏡下胃瘻造設術を含む。）,K664,,,0,20240601,99999999,00000000
01,0020,1,1,,胃瘻閉鎖術　開腹又は腹腔鏡によるもの,K6651,,,0,20240601,99999999,00000000
01,0020,1,1,,胃瘻閉鎖術　内視鏡によるもの,K6652,,,0,20240601,99999999,00000000
01,0020,1,1,,胃瘻抜去術,K665-2,,,0,20240601,99999999,00000000
01,0030,1,1,,造影剤注入手技　動脈造影カテーテル法　主要血管の分枝血管を選択的に造影撮影した場合,E0033ｲ,,,0,20240601,99999999,00000000
01,0040,1,1,,ガンマナイフによる定位放射線治療,M001-2,,,0,20240601,99999999,00000000
01,0050,1,1,,胃瘻造設術（経皮的内視鏡下胃瘻造設術、腹腔鏡下胃瘻造設術を含む。）,K664,,,0,20240601,99999999,00000000
01,0050,1,1,,胃瘻閉鎖術　開腹又は腹腔鏡によるもの,K6651,,,0,20240601,99999999,00000000
01,0050,1,1,,胃瘻閉鎖術　内視鏡によるもの,K6652,,,0,20240601,99999999,00000000
01,0050,1,1,,胃瘻抜去術,K665-2,,,0,20240601,99999999,00000000
01,0060,2,2,,造影剤注入手技　動脈造影カテーテル法　主要血管の分枝血管を選択的に造影撮影した場合,E0033ｲ,,,0,20240601,99999999,00000000
01,0060,1,1,,胃瘻造設術（経皮的内視鏡下胃瘻造設術、腹腔鏡下胃瘻造設術を含む。）,K664,,,0,20240601,99999999,00000000
01,0060,1,1,,胃瘻閉鎖術　開腹又は腹腔鏡によるもの,K6651,,,0,20240601,99999999,00000000
01,0060,1,1,,胃瘻閉鎖術　内視鏡によるもの,K6652,,,0,20240601,99999999,00000000
01,0060,1,1,,胃瘻抜去術,K665-2,,,0,20240601,99999999,00000000
01,0061,1,1,,造影剤注入手技　動脈造影カテーテル法　主要血管の分枝血管を選択的に造影撮影した場合,E0033ｲ,,,0,20240601,99999999,00000000
01,0069,1,1,,造影剤注入手技　動脈造影カテーテル法　主要血管の分枝血管を選択的に造影撮影した場合,E0033ｲ,,,0,20240601,99999999,00000000
01,0070,1,1,,造影剤注入手技　動脈造影カテーテル法　主要血管の分枝血管を選択的に造影撮影した場合,E0033ｲ,,,0,20240601,99999999,00000000
01,0080,1,1,,胃瘻造設術（経皮的内視鏡下胃瘻造設術、腹腔鏡下胃瘻造設術を含む。）,K664,,,0,20240601,99999999,00000000
01,0081,1,1,,胃瘻造設術（経皮的内視鏡下胃瘻造設術、腹腔鏡下胃瘻造設術を含む。）,K664,,,0,20240601,99999999,00000000
01,0083,1,1,,胃瘻造設術（経皮的内視鏡下胃瘻造設術、腹腔鏡下胃瘻造設術を含む。）,K664,,,0,20240601,99999999,00000000
01,0086,1,1,,胃瘻造設術（経皮的内視鏡下胃瘻造設術、腹腔鏡下胃瘻造設術を含む。）,K664,,,0,20240601,99999999,00000000
01,0089,1,1,,胃瘻造設術（経皮的内視鏡下胃瘻造設術、腹腔鏡下胃瘻造設術を含む。）,K664,,,0,20240601,99999999,00000000
01,0090,1,1,,胃瘻造設術（経皮的内視鏡下胃瘻造設術、腹腔鏡下胃瘻造設術を含む。）,K664,,,0,20240601,99999999,00000000
01,0100,1,1,,胃瘻造設術（経皮的内視鏡下胃瘻造設術、腹腔鏡下胃瘻造設術を含む。）,K664,,,0,20240601,99999999,00000000
01,0110,1,1,,胃瘻造設術（経皮的内視鏡下胃瘻造設術、腹腔鏡下胃瘻造設術を含む。）,K664,,,0,20240601,99999999,00000000
01,0111,1,1,,胃瘻造設術（経皮的内視鏡下胃瘻造設術、腹腔鏡下胃瘻造設術を含む。）,K664,,,0,20240601,99999999,00000000
01,0120,1,1,,胃瘻造設術（経皮的内視鏡下胃瘻造設術、腹腔鏡下胃瘻造設術を含む。）,K664,,,0,20240601,99999999,00000000
01,0120,1,1,,胃瘻閉鎖術　開腹又は腹腔鏡によるもの,K6651,,,0,20240601,99999999,00000000
01,0120,1,1,,胃瘻閉鎖術　内視鏡によるもの,K6652,,,0,20240601,99999999,00000000
01,0120,1,1,,胃瘻抜去術,K665-2,,,0,20240601,99999999,00000000
01,0130,1,1,,胃瘻造設術（経皮的内視鏡下胃瘻造設術、腹腔鏡下胃瘻造設術を含む。）,K664,,,0,20240601,99999999,00000000
01,0140,1,1,,胃瘻造設術（経皮的内視鏡下胃瘻造設術、腹腔鏡下胃瘻造設術を含む。）,K664,,,0,20240601,99999999,00000000
01,0155,1,1,,胃瘻造設術（経皮的内視鏡下胃瘻造設術、腹腔鏡下胃瘻造設術を含む。）,K664,,,0,20240601,99999999,00000000
01,0160,1,1,,胃瘻造設術（経皮的内視鏡下胃瘻造設術、腹腔鏡下胃瘻造設術を含む。）,K664,,,0,20240601,99999999,00000000
01,0160,1,1,,薬剤投与用胃瘻造設術,K664-3,,,0,20240601,99999999,00000000
01,0170,1,1,,胃瘻造設術（経皮的内視鏡下胃瘻造設術、腹腔鏡下胃瘻造設術を含む。）,K664,,,0,20240601,99999999,00000000
01,0190,1,1,,胃瘻造設術（経皮的内視鏡下胃瘻造設術、腹腔鏡下胃瘻造設術を含む。）,K664,,,0,20240601,99999999,00000000
01,0200,1,1,,胃瘻造設術（経皮的内視鏡下胃瘻造設術、腹腔鏡下胃瘻造設術を含む。）,K664,,,0,20240601,99999999,00000000
01,0200,1,1,,胃瘻閉鎖術　開腹又は腹腔鏡によるもの,K6651,,,0,20240601,99999999,00000000
01,0200,1,1,,胃瘻閉鎖術　内視鏡によるもの,K6652,,,0,20240601,99999999,00000000
