MDCｺｰﾄﾞ,分類ｺｰﾄﾞ,対応ｺｰﾄﾞ,定義副傷病ﾌﾗｸﾞ,ICD名称,ICDｺｰﾄﾞ,変更区分,有効期間,,更新日
,,,,,,,開始日,終了日,
01,0010,1,3,百日咳菌による百日咳,A370,0,20240601,99999999,00000000
01,0010,1,3,その他のボルデテラ属菌種による百日咳,A378,0,20240601,99999999,00000000
01,0010,1,3,百日咳，詳細不明,A379,0,20240601,99999999,00000000
01,0010,1,3,レジオネラ症＜在郷軍人病＞,A481,0,20240601,99999999,00000000
01,0010,1,3,水痘肺炎,B012,0,20240601,99999999,00000000
01,0010,1,3,麻疹，肺炎を合併するもの,B052,0,20240601,99999999,00000000
01,0010,1,3,肺カンジダ症,B371,0,20240601,99999999,00000000
01,0010,1,3,ニューモシスチス症,B59,0,20240601,99999999,00000000
01,0010,1,3,水頭症,G91$,0,20240601,99999999,00000000
01,0010,1,3,肺炎連鎖球菌による肺炎,J13,0,20240601,99999999,00000000
01,0010,1,3,インフルエンザ菌による肺炎,J14,0,20240601,99999999,00000000
01,0010,1,3,細菌性肺炎，他に分類されないもの,J15$,0,20240601,99999999,00000000
01,0010,1,3,その他の感染病原体による肺炎，他に分類されないもの,J16$,0,20240601,99999999,00000000
01,0010,1,3,他に分類される疾患における肺炎,J17$,0,20240601,99999999,00000000
01,0010,1,3,肺炎，病原体不詳,J18$,0,20240601,99999999,00000000
01,0020,1,2,てんかん,G40$,0,20240601,99999999,00000000
01,0020,1,2,てんかん重積（状態）,G41$,0,20240601,99999999,00000000
01,0020,1,2,固形物及び液状物による肺臓炎,J69$,0,20240601,99999999,00000000
01,0040,1,2,百日咳菌による百日咳,A370,0,20240601,99999999,00000000
01,0040,1,2,その他のボルデテラ属菌種による百日咳,A378,0,20240601,99999999,00000000
01,0040,1,2,百日咳，詳細不明,A379,0,20240601,99999999,00000000
01,0040,1,2,レジオネラ症＜在郷軍人病＞,A481,0,20240601,99999999,00000000
01,0040,1,2,水痘肺炎,B012,0,20240601,99999999,00000000
01,0040,1,2,麻疹，肺炎を合併するもの,B052,0,20240601,99999999,00000000
01,0040,1,2,肺カンジダ症,B371,0,20240601,99999999,00000000
01,0040,1,2,ニューモシスチス症,B59,0,20240601,99999999,00000000
01,0040,1,2,肺炎連鎖球菌による肺炎,J13,0,20240601,99999999,00000000
01,0040,1,2,インフルエンザ菌による肺炎,J14,0,20240601,99999999,00000000
01,0040,1,2,細菌性肺炎，他に分類されないもの,J15$,0,20240601,99999999,00000000
01,0040,1,2,その他の感染病原体による肺炎，他に分類されないもの,J16$,0,20240601,99999999,00000000
01,0040,1,2,他に分類される疾患における肺炎,J17$,0,20240601,99999999,00000000
01,0040,1,2,肺炎，病原体不詳,J18$,0,20240601,99999999,00000000
01,0050,1,3,てんかん,G40$,0,20240601,99999999,00000000
01,0050,1,3,てんかん重積（状態）,G41$,0,20240601,99999999,00000000
01,0060,1,1,サルモネラ敗血症,A021,0,20240601,99999999,00000000
01,0060,1,1,リステリア性敗血症,A327,0,20240601,99999999,00000000
01,0060,1,1,百日咳菌による百日咳,A370,0,20240601,99999999,00000000
01,0060,1,1,その他のボルデテラ属菌種による百日咳,A378,0,20240601,99999999,00000000
01,0060,1,1,百日咳，詳細不明,A379,0,20240601,99999999,00000000
01,0060,1,1,ウォーターハウス・フリーデリクセン＜Ｗａｔｅｒｈｏｕｓｅ－Ｆｒｉｄｅｒｉｃｈｓｅｎ＞症候群,A391,0,20240601,99999999,00000000
01,0060,1,1,慢性髄膜炎菌菌血症,A393,0,20240601,99999999,00000000
01,0060,1,1,髄膜炎菌性心疾患,A395,0,20240601,99999999,00000000
01,0060,1,1,連鎖球菌性敗血症,A40$,0,20240601,99999999,00000000
01,0060,1,1,その他の敗血症,A41$,0,20240601,99999999,00000000
01,0060,1,1,ノカルジア症,A43$,0,20240601,99999999,00000000
01,0060,1,1,バルトネラ症,A44$,0,20240601,99999999,00000000
01,0060,1,1,レジオネラ症＜在郷軍人病＞,A481,0,20240601,99999999,00000000
01,0060,1,1,水痘肺炎,B012,0,20240601,99999999,00000000
01,0060,1,1,麻疹，肺炎を合併するもの,B052,0,20240601,99999999,00000000
01,0060,1,1,皮膚糸状菌症,B35$,0,20240601,99999999,00000000
01,0060,1,1,その他の表在性真菌症,B36$,0,20240601,99999999,00000000
01,0060,1,1,カンジダ性口内炎,B370,0,20240601,99999999,00000000
01,0060,1,1,肺カンジダ症,B371,0,20240601,99999999,00000000
01,0060,1,1,皮膚及び爪のカンジダ症,B372,0,20240601,99999999,00000000
01,0060,1,1,外陰及び腟のカンジダ症,B373,0,20240601,99999999,00000000
01,0060,1,1,その他の部位の尿路性器のカンジダ症,B374,0,20240601,99999999,00000000
01,0060,1,1,カンジダ性敗血症,B377,0,20240601,99999999,00000000
01,0060,1,1,その他の部位のカンジダ症,B378,0,20240601,99999999,00000000
01,0060,1,1,カンジダ症，詳細不明,B379,0,20240601,99999999,00000000
01,0060,1,1,急性肺コクシジオイデス症,B380,0,20240601,99999999,00000000
01,0060,1,1,慢性肺コクシジオイデス症,B381,0,20240601,99999999,00000000
01,0060,1,1,肺コクシジオイデス症，詳細不明,B382,0,20240601,99999999,00000000
01,0060,1,1,皮膚コクシジオイデス症,B383,0,20240601,99999999,00000000
01,0060,1,1,播種性コクシジオイデス症,B387,0,20240601,99999999,00000000
01,0060,1,1,その他の型のコクシジオイデス症,B388,0,20240601,99999999,00000000
01,0060,1,1,コクシジオイデス症，詳細不明,B389,0,20240601,99999999,00000000
01,0060,1,1,カプスラーツム急性肺ヒストプラスマ症,B390,0,20240601,99999999,00000000
01,0060,1,1,カプスラーツム慢性肺ヒストプラスマ症,B391,0,20240601,99999999,00000000
01,0060,1,1,カプスラーツム肺ヒストプラスマ症，詳細不明,B392,0,20240601,99999999,00000000
01,0060,1,1,カプスラーツム播種性ヒストプラスマ症,B393,0,20240601,99999999,00000000
01,0060,1,1,カプスラーツムヒストプラスマ症，詳細不明,B394,0,20240601,99999999,00000000
01,0060,1,1,ズボアジヒストプラスマ症,B395,0,20240601,99999999,00000000
01,0060,1,1,ヒストプラスマ症，詳細不明,B399,0,20240601,99999999,00000000
01,0060,1,1,急性肺ブラストミセス症,B400,0,20240601,99999999,00000000
01,0060,1,1,慢性肺ブラストミセス症,B401,0,20240601,99999999,00000000
01,0060,1,1,肺ブラストミセス症，詳細不明,B402,0,20240601,99999999,00000000
01,0060,1,1,皮膚ブラストミセス症,B403,0,20240601,99999999,00000000
01,0060,1,1,播種性ブラストミセス症,B407,0,20240601,99999999,00000000
01,0060,1,1,その他の型のブラストミセス症,B408,0,20240601,99999999,00000000
01,0060,1,1,ブラストミセス症，詳細不明,B409,0,20240601,99999999,00000000
01,0060,1,1,肺パラコクシジオイデス症,B410,0,20240601,99999999,00000000
01,0060,1,1,播種性パラコクシジオイデス症,B417,0,20240601,99999999,00000000
01,0060,1,1,その他の型のパラコクシジオイデス症,B418,0,20240601,99999999,00000000
01,0060,1,1,パラコクシジオイデス症，詳細不明,B419,0,20240601,99999999,00000000
01,0060,1,1,肺スポロトリコーシス,B420,0,20240601,99999999,00000000
01,0060,1,1,リンパ管皮膚型スポロトリコーシス,B421,0,20240601,99999999,00000000
01,0060,1,1,播種性スポロトリコーシス,B427,0,20240601,99999999,00000000
01,0060,1,1,その他の型のスポロトリコーシス,B428,0,20240601,99999999,00000000
01,0060,1,1,スポロトリコーシス，詳細不明,B429,0,20240601,99999999,00000000
01,0060,1,1,皮膚クロモミコーシス,B430,0,20240601,99999999,00000000
01,0060,1,1,皮下フェオミコーシス性膿瘍及びのう＜嚢＞胞,B432,0,20240601,99999999,00000000
01,0060,1,1,その他の型のクロモミコーシス,B438,0,20240601,99999999,00000000
01,0060,1,1,クロモミコーシス，詳細不明,B439,0,20240601,99999999,00000000
01,0060,1,1,播種性アスペルギルス症,B447,0,20240601,99999999,00000000
01,0060,1,1,その他の型のアスペルギルス症,B448,0,20240601,99999999,00000000
01,0060,1,1,アスペルギルス症，詳細不明,B449,0,20240601,99999999,00000000
01,0060,1,1,脳クリプトコックス症,B451,0,20240601,99999999,00000000
01,0060,1,1,皮膚クリプトコックス症,B452,0,20240601,99999999,00000000
01,0060,1,1,骨クリプトコックス症,B453,0,20240601,99999999,00000000
01,0060,1,1,播種性クリプトコックス症,B457,0,20240601,99999999,00000000
01,0060,1,1,その他の型のクリプトコックス症,B458,0,20240601,99999999,00000000
01,0060,1,1,クリプトコックス症，詳細不明,B459,0,20240601,99999999,00000000
01,0060,1,1,肺ムーコル＜ムコール＞症,B460,0,20240601,99999999,00000000
01,0060,1,1,鼻脳ムーコル＜ムコール＞症,B461,0,20240601,99999999,00000000
01,0060,1,1,胃腸ムーコル＜ムコール＞症,B462,0,20240601,99999999,00000000
01,0060,1,1,皮膚ムーコル＜ムコール＞症,B463,0,20240601,99999999,00000000
01,0060,1,1,播種性ムーコル＜ムコール＞症,B464,0,20240601,99999999,00000000
01,0060,1,1,ムーコル＜ムコール＞症，詳細不明,B465,0,20240601,99999999,00000000
01,0060,1,1,その他の接合菌症,B468,0,20240601,99999999,00000000
01,0060,1,1,接合菌症，詳細不明,B469,0,20240601,99999999,00000000
01,0060,1,1,菌腫,B47$,0,20240601,99999999,00000000
01,0060,1,1,その他の真菌症，他に分類されないもの,B48$,0,20240601,99999999,00000000
01,0060,1,1,詳細不明の真菌症,B49,0,20240601,99999999,00000000
01,0060,1,1,ニューモシスチス症,B59,0,20240601,99999999,00000000
01,0060,1,1,肺炎連鎖球菌による肺炎,J13,0,20240601,99999999,00000000
01,0060,1,1,インフルエンザ菌による肺炎,J14,0,20240601,99999999,00000000
01,0060,1,1,細菌性肺炎，他に分類されないもの,J15$,0,20240601,99999999,00000000
01,0060,1,1,その他の感染病原体による肺炎，他に分類されないもの,J16$,0,20240601,99999999,00000000
01,0060,1,1,他に分類される疾患における肺炎,J17$,0,20240601,99999999,00000000
01,0060,1,1,肺炎，病原体不詳,J18$,0,20240601,99999999,00000000
01,0060,1,1,固形物及び液状物による肺臓炎,J69$,0,20240601,99999999,00000000
01,0060,1,1,急性尿細管間質性腎炎,N10,0,20240601,99999999,00000000
01,0060,1,1,膿腎（症）,N136,0,20240601,99999999,00000000
01,0060,1,1,腎膿瘍及び腎周囲膿瘍,N151,0,20240601,99999999,00000000
01,0060,1,1,尿路感染症，部位不明,N390,0,20240601,99999999,00000000
01,0069,1,1,固形物及び液状物による肺臓炎,J69$,0,20240601,99999999,00000000
01,0070,1,2,てんかん,G40$,0,20240601,99999999,00000000
01,0070,1,2,てんかん重積（状態）,G41$,0,20240601,99999999,00000000
01,0080,1,3,水頭症,G91$,0,20240601,99999999,00000000
01,0080,1,2,てんかん,G40$,0,20240601,99999999,00000000
01,0080,1,2,てんかん重積（状態）,G41$,0,20240601,99999999,00000000
01,0081,1,1,固形物及び液状物による肺臓炎,J69$,0,20240601,99999999,00000000
01,0110,1,1,百日咳菌による百日咳,A370,0,20240601,99999999,00000000
01,0110,1,1,その他のボルデテラ属菌種による百日咳,A378,0,20240601,99999999,00000000
01,0110,1,1,百日咳，詳細不明,A379,0,20240601,99999999,00000000
01,0110,1,1,レジオネラ症＜在郷軍人病＞,A481,0,20240601,99999999,00000000
01,0110,1,1,水痘肺炎,B012,0,20240601,99999999,00000000
01,0110,1,1,麻疹，肺炎を合併するもの,B052,0,20240601,99999999,00000000
01,0110,1,1,肺カンジダ症,B371,0,20240601,99999999,00000000
01,0110,1,1,ニューモシスチス症,B59,0,20240601,99999999,00000000
01,0110,1,1,肺炎連鎖球菌による肺炎,J13,0,20240601,99999999,00000000
01,0110,1,1,インフルエンザ菌による肺炎,J14,0,20240601,99999999,00000000
01,0110,1,1,細菌性肺炎，他に分類されないもの,J15$,0,20240601,99999999,00000000
01,0110,1,1,その他の感染病原体による肺炎，他に分類されないもの,J16$,0,20240601,99999999,00000000
01,0110,1,1,他に分類される疾患における肺炎,J17$,0,20240601,99999999,00000000
01,0110,1,1,肺炎，病原体不詳,J18$,0,20240601,99999999,00000000
01,0110,1,1,呼吸不全，他に分類されないもの,J96$,0,20240601,99999999,00000000
01,0155,1,1,固形物及び液状物による肺臓炎,J69$,0,20240601,99999999,00000000
01,0160,1,1,固形物及び液状物による肺臓炎,J69$,0,20240601,99999999,00000000
01,0170,1,1,固形物及び液状物による肺臓炎,J69$,0,20240601,99999999,00000000
01,0200,1,3,固形物及び液状物による肺臓炎,J69$,0,20240601,99999999,00000000
01,0200,1,2,てんかん,G40$,0,20240601,99999999,00000000
01,0200,1,2,てんかん重積（状態）,G41$,0,20240601,99999999,00000000
01,0230,1,1,固形物及び液状物による肺臓炎,J69$,0,20240601,99999999,00000000
01,0310,1,2,固形物及び液状物による肺臓炎,J69$,0,20240601,99999999,00000000
01,0310,1,1,房室ブロック，第１度,I440,0,20240601,99999999,00000000
01,0310,1,1,房室ブロック，第２度,I441,0,20240601,99999999,00000000
01,0310,1,1,房室ブロック，完全,I442,0,20240601,99999999,00000000
01,0310,1,1,その他及び詳細不明の房室ブロック,I443,0,20240601,99999999,00000000
01,0310,1,1,左脚前枝ブロック,I444,0,20240601,99999999,00000000
