MDCｺｰﾄﾞ,分類ｺｰﾄﾞ,ICD名称,ICDｺｰﾄﾞ,変更区分,有効期間,,更新日
,,,,,開始日,終了日,
01,0010,髄膜の悪性新生物＜腫瘍＞，脳髄膜,C700,0,20260601,99999999,00000000
01,0010,髄膜の悪性新生物＜腫瘍＞，髄膜，部位不明,C709,0,20260601,99999999,00000000
01,0010,脳の悪性新生物＜腫瘍＞,C71$,0,20260601,99999999,00000000
01,0010,脊髄，脳神経及びその他の中枢神経系の部位の悪性新生物＜腫瘍＞，嗅神経,C722,0,20260601,99999999,00000000
01,0010,脊髄，脳神経及びその他の中枢神経系の部位の悪性新生物＜腫瘍＞，視神経,C723,0,20260601,99999999,00000000
01,0010,脊髄，脳神経及びその他の中枢神経系の部位の悪性新生物＜腫瘍＞，聴神経,C724,0,20260601,99999999,00000000
01,0010,脳及び脳髄膜の続発性悪性新生物＜腫瘍＞,C793,0,20260601,99999999,00000000
01,0010,髄膜の良性新生物＜腫瘍＞，脳髄膜,D320,0,20260601,99999999,00000000
01,0010,髄膜の良性新生物＜腫瘍＞，髄膜，部位不明,D329,0,20260601,99999999,00000000
01,0010,脳及び中枢神経系のその他の部位の良性新生物＜腫瘍＞，脳，テント上,D330,0,20260601,99999999,00000000
01,0010,脳及び中枢神経系のその他の部位の良性新生物＜腫瘍＞，脳，テント下,D331,0,20260601,99999999,00000000
01,0010,脳及び中枢神経系のその他の部位の良性新生物＜腫瘍＞，脳，部位不明,D332,0,20260601,99999999,00000000
01,0010,脳及び中枢神経系のその他の部位の良性新生物＜腫瘍＞，脳神経,D333,0,20260601,99999999,00000000
01,0010,脳及び中枢神経系のその他の部位の良性新生物＜腫瘍＞，中枢神経系のその他の明示された部位,D337,0,20260601,99999999,00000000
01,0010,脳及び中枢神経系のその他の部位の良性新生物＜腫瘍＞，中枢神経系，部位不明,D339,0,20260601,99999999,00000000
01,0010,髄膜の性状不詳又は不明の新生物＜腫瘍＞，脳髄膜,D420,0,20260601,99999999,00000000
01,0010,髄膜の性状不詳又は不明の新生物＜腫瘍＞，髄膜，部位不明,D429,0,20260601,99999999,00000000
01,0010,脳及び中枢神経系の性状不詳又は不明の新生物＜腫瘍＞，脳，テント上,D430,0,20260601,99999999,00000000
01,0010,脳及び中枢神経系の性状不詳又は不明の新生物＜腫瘍＞，脳，テント下,D431,0,20260601,99999999,00000000
01,0010,脳及び中枢神経系の性状不詳又は不明の新生物＜腫瘍＞，脳，部位不明,D432,0,20260601,99999999,00000000
01,0010,脳及び中枢神経系の性状不詳又は不明の新生物＜腫瘍＞，脳神経,D433,0,20260601,99999999,00000000
01,0010,脳及び中枢神経系の性状不詳又は不明の新生物＜腫瘍＞，中枢神経系のその他の部位,D437,0,20260601,99999999,00000000
01,0010,脳及び中枢神経系の性状不詳又は不明の新生物＜腫瘍＞，中枢神経系，部位不明,D439,0,20260601,99999999,00000000
01,0010,新生物＜腫瘍＞性疾患における主に中枢神経系を障害するその他の系統萎縮症,G131,0,20260601,99999999,00000000
01,0010,粘液水腫における主に中枢神経系を障害する系統萎縮症,G132,0,20260601,99999999,00000000
01,0020,くも膜下出血,I60$,0,20260601,99999999,00000000
01,0030,脳動脈壁の解離，非＜未＞破裂性,I670,0,20260601,99999999,00000000
01,0030,脳動脈瘤，非＜未＞破裂性,I671,0,20260601,99999999,00000000
01,0030,その他の脳実質外動脈（脳底動脈、頚動脈、椎骨動脈を含む）の動脈瘤及び解離,I725,0,20260601,99999999,00000000
01,0030,椎骨動脈の動脈瘤及び解離,I726,0,20260601,99999999,00000000
01,0040,脳内出血,I61$,0,20260601,99999999,00000000
01,0040,頭蓋内出血（非外傷性），詳細不明,I629,0,20260601,99999999,00000000
01,0040,脳アミロイド血管症,I680,0,20260601,99999999,00000000
01,0040,脳実質外血管の動静脈奇形,Q280,0,20260601,99999999,00000000
01,0040,脳実質外血管のその他の奇形,Q281,0,20260601,99999999,00000000
01,0040,脳血管の動静脈奇形,Q282,0,20260601,99999999,00000000
01,0040,脳血管のその他の奇形,Q283,0,20260601,99999999,00000000
01,0050,硬膜下出血（急性）（非外傷性）,I620,0,20260601,99999999,00000000
01,0050,非外傷性硬膜外出血,I621,0,20260601,99999999,00000000
01,0060,脳梗塞,I63$,0,20260601,99999999,00000000
01,0061,一過性脳虚血発作及び関連症候群,G45$,0,20260601,99999999,00000000
01,0069,脳血管疾患の続発・後遺症,I69$,0,20260601,99999999,00000000
01,0069,循環器系のその他の処置後障害，他に分類されないもの,I978,0,20260601,99999999,00000000
01,0070,脳血管疾患における脳の血管（性）症候群,G46$,0,20260601,99999999,00000000
01,0070,脳卒中，脳出血又は脳梗塞と明示されないもの,I64,0,20260601,99999999,00000000
01,0070,脳実質外動脈（脳底動脈，頚動脈，椎骨動脈）の閉塞及び狭窄，脳梗塞に至らなかったもの,I65$,0,20260601,99999999,00000000
01,0070,脳動脈の閉塞及び狭窄，脳梗塞に至らなかったもの,I66$,0,20260601,99999999,00000000
01,0070,脳動脈のアテローム＜じゅく＜粥＞状＞硬化（症）,I672,0,20260601,99999999,00000000
01,0070,もやもや病＜ウイリス動脈輪閉塞症＞,I675,0,20260601,99999999,00000000
01,0070,頭蓋内静脈系の非化膿性血栓症,I676,0,20260601,99999999,00000000
01,0070,脳動脈炎，他に分類されないもの,I677,0,20260601,99999999,00000000
01,0070,その他の明示された脳血管疾患,I678,0,20260601,99999999,00000000
01,0070,脳血管疾患，詳細不明,I679,0,20260601,99999999,00000000
01,0070,他に分類される感染症及び寄生虫症における脳動脈炎,I681,0,20260601,99999999,00000000
01,0070,他に分類されるその他の疾患における脳動脈炎,I682,0,20260601,99999999,00000000
01,0070,他に分類される疾患におけるその他の脳血管障害,I688,0,20260601,99999999,00000000
01,0080,アメーバ性脳膿瘍,A066,0,20260601,99999999,00000000
01,0080,リステリア性髄膜炎及び髄膜脳炎,A321,0,20260601,99999999,00000000
01,0080,髄膜炎菌性髄膜炎,A390,0,20260601,99999999,00000000
01,0080,急性灰白髄炎＜ポリオ＞,A80$,0,20260601,99999999,00000000
01,0080,狂犬病,A82$,0,20260601,99999999,00000000
01,0080,蚊媒介ウイルス（性）脳炎,A83$,0,20260601,99999999,00000000
01,0080,ダニ媒介ウイルス（性）脳炎,A84$,0,20260601,99999999,00000000
01,0080,その他のウイルス（性）脳炎，他に分類されないもの,A85$,0,20260601,99999999,00000000
01,0080,詳細不明のウイルス（性）脳炎,A86,0,20260601,99999999,00000000
01,0080,ウイルス（性）髄膜炎,A87$,0,20260601,99999999,00000000
01,0080,中枢神経系のその他のウイルス感染症，他に分類されないもの,A88$,0,20260601,99999999,00000000
01,0080,中枢神経系の詳細不明のウイルス感染症,A89,0,20260601,99999999,00000000
01,0080,ヘルペスウイルス（性）髄膜炎,B003,0,20260601,99999999,00000000
01,0080,ヘルペスウイルス（性）脳炎,B004,0,20260601,99999999,00000000
01,0080,水痘髄膜炎,B010,0,20260601,99999999,00000000
01,0080,水痘脳炎,B011,0,20260601,99999999,00000000
01,0080,帯状疱疹（性）脳炎,B020,0,20260601,99999999,00000000
01,0080,帯状疱疹（性）髄膜炎,B021,0,20260601,99999999,00000000
01,0080,麻疹，脳炎を合併するもの,B050,0,20260601,99999999,00000000
01,0080,麻疹，髄膜炎を合併するもの,B051,0,20260601,99999999,00000000
01,0080,風疹，神経合併症を伴うもの,B060,0,20260601,99999999,00000000
01,0080,ムンプス髄膜炎,B261,0,20260601,99999999,00000000
