code,level,termEn,termJa,obsolete
800,2,"Neoplasms, NOS",新生物，ＮＯＳ,
8000/0,Preferred,"Neoplasm, benign",新生物，良性,
8000/0,Synonym,"Tumor, benign",腫瘍，良性,
8000/0,Synonym,"Unclassified tumor, benign",分類されない腫瘍，良性,
8000/1,Preferred,"Neoplasm, uncertain whether benign or malignant",新生物，良性又は悪性の別不詳,
8000/1,Synonym,"Neoplasm, NOS",新生物，ＮＯＳ,
8000/1,Synonym,"Tumor, NOS",腫瘍，ＮＯＳ,
8000/1,Synonym,"Unclassified tumor, borderline malignancy",分類されない腫瘍，境界悪性領域,
8000/1,Synonym,"Unclassified tumor, uncertain whether benign or malignant",分類されない腫瘍，良性又は悪性の別不詳,
8000/3,Preferred,"Neoplasm, malignant",新生物，悪性,
8000/3,Synonym,"Blastoma, NOS",芽腫，ＮＯＳ,
8000/3,Synonym,"Tumor, malignant, NOS",腫瘍，悪性，ＮＯＳ,
8000/3,Synonym,Cancer,がん,
8000/3,Synonym,Malignancy,悪性腫瘍,
8000/3,Synonym,"Unclassified tumor, malignant",分類されない腫瘍，悪性,
8000/6,Preferred,"Neoplasm, metastatic",新生物，転移性,
8000/6,Synonym,"Neoplasm, secondary",新生物，続発性,
8000/6,Synonym,Tumor embolus,腫瘍塞栓,
8000/6,Synonym,"Tumor, metastatic",腫瘍，転移性,
8000/6,Synonym,"Tumor, secondary",腫瘍，続発性,
8000/9,Preferred,"Neoplasm, malignant, uncertain whether primary or metastatic",新生物，悪性，原発又は転移の別不詳,
8000/9,Synonym,"Unclassified tumor, malignant, uncertain whether primary or metastatic",分類されない腫瘍，悪性，原発又は転移の別不詳,
8001/0,Preferred,"Tumor cells, benign",腫瘍細胞，良性,
8001/1,Preferred,"Tumor cells, uncertain whether benign or malignant",腫瘍細胞，良性又は悪性の別不詳,
8001/1,Synonym,"Tumor cells, NOS",腫瘍細胞，ＮＯＳ,
8001/3,Preferred,"Tumor cells, malignant",腫瘍細胞，悪性,
8002/3,Preferred,"Malignant tumor, small cell type",悪性腫瘍，小細胞型,
8003/3,Preferred,"Malignant tumor, giant cell type",悪性腫瘍，巨細胞型,
8004/3,Preferred,"Malignant tumor, spindle cell type",悪性腫瘍，紡錘形細胞型,
8004/3,Synonym,"Malignant tumor, fusiform cell type",,
8005/0,Preferred,"Clear cell tumor, NOS",明細胞腫瘍，ＮＯＳ ※1,
8005/3,Preferred,"Malignant tumor, clear cell type",悪性腫瘍，明細胞型 ※1,
801-804,2,"Epithelial neoplasms, NOS",上皮性新生物，ＮＯＳ,
8010/0,Preferred,"Epithelial tumor, benign",上皮性腫瘍，良性,
8010/2,Preferred,"Carcinoma in situ, NOS",上皮内癌，ＮＯＳ,
8010/2,Synonym,"Intraepithelial carcinoma, NOS",,
8010/3,Preferred,"Carcinoma, NOS",癌腫，ＮＯＳ,
8010/3,Synonym,"Epithelial tumor, malignant",上皮性腫瘍，悪性,
8010/3,Related,Heterotopia-associated carcinoma,,
8010/6,Preferred,"Carcinoma, metastatic, NOS",癌腫，転移性，ＮＯＳ,
8010/6,Synonym,Secondary carcinoma,続発性癌,
8010/9,Preferred,Carcinomatosis,癌腫症,
8011/0,Preferred,"Epithelioma, benign",上皮腫，良性,
8011/3,Preferred,"Epithelioma, malignant",上皮腫，悪性,
8011/3,Synonym,"Epithelioma, NOS",上皮腫，ＮＯＳ,
8012/3,Preferred,"Large cell carcinoma, NOS",大細胞癌，ＮＯＳ,
8013/3,Preferred,Large cell neuroendocrine carcinoma,大細胞神経内分泌癌 ※1,
8013/3,Related,Combined large cell neuroendocrine carcinoma,混合型大細胞神経内分泌癌,
8014/3,Preferred,Large cell carcinoma with rhabdoid phenotype,ラブドイド型を伴う大細胞癌 ※1,
8015/3,Preferred,Glassy cell carcinoma,硝子細胞癌 ※1,
8020/3,Preferred,"Carcinoma, undifferentiated, NOS",癌腫，未分化，ＮＯＳ,
8020/3,Related,"Carcinoma, poorly differentiated, NOS",低分化癌，NOS,
8020/3,Related,Anaplastic undifferentiated carcinoma,退形成未分化癌,
8020/3,Related,Dedifferentiated carcinoma,脱分化癌,
8021/3,Preferred,"Carcinoma, anaplastic, NOS",癌腫，退形成性，ＮＯＳ,
8022/3,Preferred,Pleomorphic carcinoma,多形細胞癌,
8023/3,Preferred,Nuclear protein in testis (NUT)-associated carcinoma,NUT転座関連癌,
8023/3,Synonym,NUT carcinoma,NUT転座癌／NUT癌,
8023/3,Synonym,NUT midline carcinoma,NUT転座正中癌／NUT正中癌,
8030/3,Preferred,Giant cell and spindle cell carcinoma,巨細胞及び紡錘形細胞癌,
8031/3,Preferred,Giant cell carcinoma,巨細胞癌,
8032/3,Preferred,"Spindle cell carcinoma, NOS",紡錘形細胞癌，ＮＯＳ,
8033/3,Preferred,Pseudosarcomatous carcinoma,偽肉腫様癌,
8033/3,Synonym,Sarcomatoid carcinoma,肉腫様癌 ※2,
8034/3,Preferred,Polygonal cell carcinoma,多角形細胞癌,
8035/3,Preferred,Carcinoma with osteoclast-like giant cells,破骨細胞様巨細胞を伴う癌 ※1,
