code,level,term_type,japanese,english,needs_review
C00,category,優先用語,口唇（口唇の皮膚Ｃ44.0を除く）,LIP (excludes skin of lip C44.0),
C00.0,specific,優先用語,外側上唇,External upper lip,
C00.0,specific,同義語,上唇の赤唇部,Vermilion border of upper lip,
C00.0,specific,同義語,上唇，ＮＯＳ（上唇の皮膚Ｃ44.0を除く）,"Upper lip, NOS (excludes skin of upper lip C44.0)",
C00.1,specific,優先用語,外側下唇,External lower lip,
C00.1,specific,同義語,下唇の赤唇部,Vermilion border of lower lip,
C00.1,specific,同義語,下唇，ＮＯＳ（下唇の皮膚Ｃ44.0を除く）,"Lower lip, NOS (excludes skin of lower lip C44.0)",
C00.2,specific,優先用語,外側口唇,"External lip, NOS",
C00.2,specific,同義語,口唇の赤唇部，ＮＯＳ,"Vermilion border of lip, NOS",
C00.3,specific,優先用語,上唇粘膜,Mucosa of upper lip,
C00.3,specific,同義語,上唇内側面,Inner aspect of upper lip,
C00.3,specific,同義語,上唇小帯,Frenulum of upper lip,
C00.4,specific,優先用語,下唇粘膜,Mucosa of lower lip,
C00.4,specific,同義語,下唇内側面,Inner aspect of lower lip,
C00.4,specific,同義語,下唇小帯,Frenulum of lower lip,
C00.5,specific,優先用語,口唇粘膜，ＮＯＳ,"Mucosa of lip, NOS",
C00.5,specific,同義語,口唇内側面，ＮＯＳ,"Inner aspect of lip, NOS",
C00.5,specific,同義語,口唇内部，ＮＯＳ,"Internal lip, NOS",
C00.5,specific,同義語,口唇小帯，ＮＯＳ,"Frenulum of lip, NOS Frenulum labii, NOS",
C00.6,specific,優先用語,唇交連,Commissure of lip Labial commissure,
C00.8,specific,優先用語,口唇の境界部病巣,Overlapping lesion of lip,
C00.8,specific,同義語,（73ページの注を参照）,(see note page 45),
C00.9,specific,優先用語,口唇，ＮＯＳ（口唇の皮膚Ｃ44.0を除く）,"Lip, NOS (excludes skin of lip C44.0)",
C01,category,優先用語,舌根部▼１,BASE OF TONGUE▼１,
C01.9,specific,優先用語,舌根部，ＮＯＳ,"Base of tongue, NOS",
C01.9,specific,同義語,舌根部の背面,Dorsal surface of base of tongue,
C01.9,specific,同義語,舌の後３分の１,Posterior third of tongue,
C01.9,specific,同義語,舌後部，ＮＯＳ,"Posterior tongue, NOS",
C01.9,specific,同義語,舌根,Root of tongue,
C02,category,優先用語,その他及び部位不明の舌,OTHER AND UNSPECIFIED PARTS OF TONGUE,
C02.0,specific,優先用語,舌背面，ＮＯＳ,"Dorsal surface of tongue, NOS",
C02.0,specific,同義語,舌の前３分の２，背面,"Anterior 2/3 of tongue, dorsal surface",
C02.0,specific,同義語,舌の正中線,Midline of tongue,
C02.0,specific,同義語,舌前部の背面,Dorsal surface of anterior tongue,
C02.1,specific,優先用語,舌縁,Border of tongue,
C02.1,specific,同義語,舌尖,Tip of tongue,
C02.2,specific,優先用語,舌下面，ＮＯＳ,"Ventral surface of tongue, NOS",
C02.2,specific,同義語,舌の前３分の２，下面,"Anterior 2/3 of tongue, ventral surface",
C02.2,specific,同義語,舌小帯,Frenulum linguae,
C02.2,specific,同義語,舌前部の下面，ＮＯＳ,"Ventral surface of anterior tongue, NOS",
C02.3,specific,優先用語,舌の前３分の２，ＮＯＳ,"Anterior 2/3 of tongue, NOS",
C02.3,specific,同義語,舌前部，ＮＯＳ,"Anterior tongue, NOS",
C02.4,specific,優先用語,舌扁桃,Lingual tonsil,
C02.8,specific,優先用語,舌の境界部病巣,Overlapping lesion of tongue,
C02.8,specific,同義語,（73ページの注を参照）,(see note page 45),
C02.8,specific,同義語,舌の境界域,Junctional zone of tongue,
C02.9,specific,優先用語,舌，ＮＯＳ,"Tongue, NOS Lingual, NOS",
C03,category,優先用語,歯肉,GUM,
C03.0,specific,優先用語,上顎歯肉,Upper gum,
C03.0,specific,同義語,上顎歯ぎん,Maxillary gingiva,
C03.0,specific,同義語,上顎歯槽粘膜,Upper alveolar mucosa,
C03.0,specific,同義語,上顎歯槽堤粘膜,Upper alveolar ridge mucosa,
C03.0,specific,同義語,上顎歯槽,Upper alveolus,
C03.0,specific,同義語,上歯肉,Upper gingiva,
C03.1,specific,優先用語,下顎歯肉,Lower gum,
C03.1,specific,同義語,下顎歯ぎん,Mandibular gingiva,
C03.1,specific,同義語,下顎歯槽粘膜,Lower alveolar mucosa,
C03.1,specific,同義語,下顎歯槽堤粘膜,Lower alveolar ridge mucosa,
C03.1,specific,同義語,下顎歯槽,Lower alveolus,
C03.1,specific,同義語,下歯肉,Lower gingiva,
C03.9,specific,優先用語,歯肉，ＮＯＳ,"Gum, NOS",
C03.9,specific,同義語,歯ぎん，ＮＯＳ,"Gingiva, NOS",
C03.9,specific,同義語,歯槽粘膜，ＮＯＳ,"Alveolar mucosa, NOS",
C03.9,specific,同義語,歯槽堤粘膜，ＮＯＳ,"Alveolar ridge mucosa, NOS",
C03.9,specific,同義語,歯槽，ＮＯＳ,"Alveolus, NOS",
C03.9,specific,同義語,歯周組織,Periodontal tissue Tooth socket,
C04,category,優先用語,口腔底,FLOOR OF MOUTH,
C04.0,specific,優先用語,前部口腔底,Anterior floor of mouth,
C04.1,specific,優先用語,側部口腔底,Lateral floor of mouth,
C04.8,specific,優先用語,口腔底の境界部病巣,Overlapping lesion of floor of mouth,
C04.8,specific,同義語,（73ページの注を参照）,(see note page 45),
C04.9,specific,優先用語,口腔底，ＮＯＳ,"Floor of mouth, NOS",
C05,category,優先用語,口蓋,PALATE,
C05.0,specific,優先用語,硬口蓋,Hard palate,
C05.1,specific,優先用語,軟口蓋，ＮＯＳ（軟口蓋の鼻咽頭表面,"Soft palate, NOS (excludes nasopharyngeal",
C05.1,specific,同義語,Ｃ11.3を除く）,surface of soft palate C11.3),
C05.2,specific,優先用語,口蓋垂,Uvula,
C05.8,specific,優先用語,口蓋の境界部病巣,Overlapping lesion of palate,
C05.8,specific,同義語,（73ページの注を参照）,(see note page 45),
C05.8,specific,同義語,硬口蓋と軟口蓋の境界部,Junction of hard and soft palate,
C05.9,specific,優先用語,口蓋，ＮＯＳ,"Palate, NOS",
C05.9,specific,同義語,口腔上壁,Roof of mouth,
C06,category,優先用語,その他及び部位不明の口腔,OTHER AND UNSPECIFIED PARTS OF MOUTH,
C06.0,specific,優先用語,頬粘膜,Cheek mucosa,
C06.0,specific,同義語,頬部粘膜,Buccal mucosa,
C06.0,specific,同義語,頬内部,Internal cheek,
C06.1,specific,優先用語,口腔前庭,Vestibule of mouth,
C06.1,specific,同義語,歯槽溝,Alveolar sulcus,
C06.1,specific,同義語,頬側溝,Buccal sulcus,
C06.1,specific,同義語,口唇溝,Labial sulcus,
C06.2,specific,優先用語,臼後部,Retromolar area,
C06.2,specific,同義語,臼後三角,Retromolar triangle Retromolar trigone,
C06.8,specific,優先用語,その他及び部位不明の口腔の境界部病巣,Overlapping lesion of other and unspecified parts of mouth,
C06.8,specific,同義語,（73ページの注を参照）,(see note page 45),
C06.9,specific,優先用語,口腔，ＮＯＳ,"Mouth, NOS",
C06.9,specific,同義語,頬粘膜腔,Buccal cavity,
C06.9,specific,同義語,口腔,Oral cavity,
C06.9,specific,同義語,口腔粘膜,Oral mucosa,
C06.9,specific,同義語,小唾液腺，ＮＯＳ,"Minor salivary gland, NOS",
C06.9,specific,同義語,（Ｃ08下の注を参照）,(see note under C08),
C07,category,優先用語,耳下腺,PAROTID GLAND,
C07.9,specific,優先用語,◆ 耳下腺,Parotid gland,
C07.9,specific,同義語,耳下腺，ＮＯＳ,"Parotid, NOS",
C07.9,specific,同義語,ステンセン管,Stensen duct,
C07.9,specific,同義語,耳下腺管,Parotid gland duct,
C08,category,優先用語,その他及び詳細不明の大唾液腺,OTHER AND UNSPECIFIED MAJOR SALIVARY GLANDS,
C08,category,同義語,注：小唾液腺の新生物〈腫瘍〉は解剖学的部位に,Note : Neoplasms of minor salivary glands should be,
C08,category,同義語,従って分類する；部位が明示されていない場合,classified according to their anatomical site; if,
C08,category,同義語,は，C06.9に分類する。,"location is not specified, classify to C06.9.",
C08.0,specific,優先用語,顎下腺,Submandibular gland Submaxillary gland,
C08.0,specific,同義語,ワルトン管,Wharton duct,
C08.0,specific,同義語,顎下腺管,Submaxillary gland duct,
C08.1,specific,優先用語,舌下腺,Sublingual gland,
C08.1,specific,同義語,舌下腺管,Sublingual gland duct,
C08.8,specific,優先用語,大唾液腺の境界部病巣,Overlapping lesion of major salivary glands,
C08.8,specific,同義語,（73ページの注を参照）,(see note page 45),
C08.9,specific,優先用語,大唾液腺，ＮＯＳ,"Major salivary gland, NOS",
C08.9,specific,同義語,唾液腺，ＮＯＳ（小唾液腺，ＮＯＳ C06.9,"Salivary gland, NOS (excludes minor",
C08.9,specific,同義語,を除く；C08下の注を参照）,"salivary gland, NOS C06.9; see note under C08)",
C09,category,優先用語,扁桃▼１,TONSIL,
